teinte_id;teinte_label;Teinte_hexa
1;Process Yellow;#f7e214
2;100;#f4ed7c
3;101;#f4ed47
4;102;#f9e814
5;Yellow;#fce016
6;103;#c6ad0f
7;104;#ad9b0c
8;412;#3d3028
9;413;#c6c1b2
10;414;#b5afa0
11;415;#a39e8c
12;416;#8e8c7a
13;417;#777263
14;418;#605e4f
15;105;#82750f
16;106;#f7e859
17;107;#f9e526
18;108;#f7dd16
19;109;#f9d616
20;110;#d8b511
21;111;#aa930a
22;112;#99840a
23;419;#282821
24;420;#d1ccbf
25;421;#bfbaaf
26;422;#afaaa3
27;423;#96938e
28;424;#827f77
29;425;#60605b
30;426;#2b2b28
31;113;#f9e55b
32;114;#f9e24c
33;115;#f9e04c
34;116;#fcd116
35;117;#c6a00c
36;118;#aa8e0a
37;119;#897719
38;120;#f9e27f
39;427;#dddbd1
40;428;#d1cec6
41;429;#adafaa
42;430;#919693
43;431;#666d70
44;432;#444f51
45;433;#30383a
46;434;#e0d1c6
47;121;#f9e070
48;122;#fcd856
49;123;#ffc61e
50;124;#e0aa0f
51;125;#b58c0a
52;1205;#f7e8aa
53;1215;#f9e08c
54;1225;#ffcc49
55;435;#d3bfb7
56;436;#bca59e
57;437;#8c706b
58;438;#593f3d
59;439;#493533
60;440;#3f302b
61;441;#d1d1c6
62;442;#babfb7
63;1235;#fcb514
64;1245;#bf910c
65;1255;#a37f14
66;1265;#7c6316
67;127;#f4e287
68;128;#f4db60
69;129;#f2d13d
70;130;#eaaf0f
71;443;#a3a8a3
72;444;#898e8c
73;445;#565959
74;446;#494c49
75;447;#3f3f38
76;Warm Gray 1;#e5dbcc
77;Warm Gray 2;#ddd1c1
78;Warm Gray 3;#ccc1b2
79;131;#c6930a
80;132;#9e7c0a
81;133;#705b0a
82;134;#ffd87f
83;135;#fcc963
84;136;#fcbf49
85;137;#fca311
86;138;#d88c02
87;Warm Gray 4;#c1b5a5
88;Warm Gray 5;#b5a899
89;Warm Gray 6;#afa393
90;Warm Gray 7;#a39687
91;Warm Gray 8;#96897a
92;Warm Gray 9;#8c7f70
93;Warm Gray 10;#827263
94;Warm Gray 11;#6d5e51
95;139;#af7505
96;140;#7a5b11
97;1345;#ffd691
98;1355;#fcce87
99;1365;#fcba5e
100;1375;#f99b0c
101;1385;#cc7a02
102;1395;#996007
103;Cool Gray 1;#e8e2d6
104;Cool Gray 2;#ddd8ce
105;Cool Gray 3;#d3cec4
106;Cool Gray 4;#c4c1ba
107;Cool Gray 5;#bab7af
108;Cool Gray 6;#b5b2aa
109;Cool Gray 7;#a5a39e
110;Cool Gray 8;#9b9993
111;1405;#6b4714
112;141;#f2ce68
113;142;#f2bf49
114;143;#efb22d
115;144;#e28c05
116;145;#c67f07
117;146;#9e6b05
118;147;#725e26
119;Cool Gray 9;#8c8984
120;Cool Gray 10;#777772
121;Cool Gray 11;#686663
122;448;#54472d
123;449;#544726
124;450;#60542b
125;451;#ada07a
126;452;#c4b796
127;148;#ffd69b
128;149;#fccc93
129;150;#fcad56
130;151;#f77f00
131;152;#dd7500
132;153;#bc6d0a
133;154;#995905
134;1485;#ffb777
135;453;#d6ccaf
136;454;#e2d8bf
137;4485;#604c11
138;4495;#877530
139;4505;#a09151
140;4515;#bcad75
141;4525;#ccbf8e
142;4535;#dbcea5
143;1495;#ff993f
144;1505;#f47c00
145;Orange 021;#ef6b002
146;1525;#b55400
147;1535;#8c4400
148;1545;#4c280f
149;155;#f4dbaa
150;156;#f2c68c
151;4545;#e5dbba
152;455;#665614
153;456;#998714
154;457;#b59b0c
155;458;#ddcc6b
156;459;#e2d67c
157;460;#eadd96
158;461;#ede5ad
159;157;#eda04f
160;158;#e87511
161;159;#c66005
162;160;#9e540a
163;161;#633a11
164;1555;#f9bf9e
165;1565;#fca577
166;1575;#fc8744
167;462;#5b4723
168;463;#755426
169;464;#876028
170;465;#c1a875
171;466;#d1bf91
172;467;#ddcca5
173;468;#e2d6b5
174;4625;#472311
175;1585;#f96b07
176;1595;#d15b05
177;1605;#a04f11
178;1615;#843f0f
179;162;#f9c6aa
180;163;#fc9e70
181;164;#fc7f3f
182;165;#f96302
183;4635;#8c5933
184;4645;#b28260
185;4655;#c49977
186;4665;#d8b596
187;4675;#e5c6aa
188;4685;#edd3bc
189;469;#603311
190;4695;#51261c
191;166;#dd5900
192;167;#bc4f07
193;168;#6d3011
194;1625;#f9a58c
195;1635;#f98e6d
196;1645;#f97242
197;1655;#f95602
198;1665;#f95602
199;4705;#7c513d
200;4715;#99705b
201;4725;#b5917c
202;4735;#ccaf9b
203;4745;#d8bfaa
204;4755;#e2ccba
205;476;#593d2b
206;477;#633826
207;1675;#a53f0f
208;1685;#843511
209;169;#f9baaa
210;170;#f98972
211;171;#f9603a
212;172;#f74902
213;173;#d14414
214;174;#933311
215;478;#7a3f28
216;479;#af8970
217;480;#d3b7a3
218;481;#e0ccba
219;482;#e5d3c1
220;483;#6b3021
221;484;#9b301c
222;485;#d81e05
223;175;#6d3321
224;176;#f9afad
225;177;#f9827f
226;178;#f95e59
227;Warm Red;#f93f26249
228;179;#e23d28
229;180;#c13828
230;181;#7c2d23
231;486;#ed9e84
232;487;#efb5a0
233;488;#f2c4af
234;489;#f2d1bf
235;490;#5b2626
236;491;#752828
237;492;#913338
238;493;#db828c
239;1765;#f99ea3
240;1775;#f9848e
241;1785;#fc4f59
242;1788;#ef2b2d
243;1795;#d62828
244;1805;#af2626
245;1815;#7c211e
246;1767;#f9b2b7
247;494;#f2adb2
248;495;#f4bcbf
249;496;#f7c9c6
250;497;#512826
251;498;#6d332b
252;499;#7a382d
253;500;#ce898c
254;501;#eab2b2
255;1777;#fc6675
256;1787;#f43f4f
257;Red 032;#ef2b2d
258;1797;#cc2d30
259;1807;#a03033
260;1817;#5b2d28
261;182;#f9bfc1
262;183;#fc8c99
263;502;#f2c6c4
264;503;#f4d1cc
265;4975;#441e1c
266;4985;#844949
267;4995;#a56b6d
268;5005;#bc8787
269;5015;#d8ada8
270;5025;#e2bcb7
271;184;#fc5e72
272;185;#e8112d
273;186;#ce1126
274;187;#af1e2d
275;188;#7c2128
276;189;#ffa3b2
277;190;#fc758e
278;191;#f4476b
279;5035;#edcec6
280;504;#511e26
281;505;#661e2b
282;506;#7a2638
283;507;#d8899b
284;508;#e8a5af
285;509;#f2babf
286;510;#f4c6c9
287;192;#e5053a
288;193;#bf0a30
289;194;#992135
290;195;#772d35
291;1895;#fcbfc9
292;1905;#fc9bb2
